seeds: 4106085912 135215567 529248892 159537194 1281459911 114322341 1857095529 814584370 2999858074 50388481 3362084117 37744902 3471634344 240133599 3737494864 346615684 1585884643 142273098 917169654 286257440

seed-to-soil map:
1906648752 2188942242 71717528
848878920 35928575 8026852
4100692468 1994667414 194274828
2066384942 3405536067 889431229
559945395 1052613350 288933525
3882853180 3187696779 217839288
856905772 1341546875 164300625
0 528596530 524016820
1978366280 1723924810 88018662
1044385850 67134880 400987760
524016820 0 35928575
1021206397 43955427 23179453
1445373610 468122640 60473890
1723924810 1811943472 182723942
